LABELS

SEPARATOR COMMA

DATA

GCF_023721935.1,Panthera uncia
GCF_018350215.1,Panthera leo
GCF_024362965.1,Panthera pardus
GCF_028018385.1,Neofelis nebulosa
GCF_007474595.2,Lynx canadensis
GCF_022079265.1,Lynx rufus
GCF_018350155.1,Leopardus geoffroyi
GCF_022837055.1,Prionailurus viverrinus
GCF_000260355.1,Condylura cristata
GCF_014898055.3,Talpa occidentalis
GCF_024139225.1,Suncus etruscus
GCF_027595985.1,Sorex araneus
GCF_029834395.1,Sorex fumeus
GCF_030445035.1,
GCF_015220235.1,Choloepus didactylus
GCF_000299155.1,Elephantulus edwardii
GCF_000243295.1,Trichechus manatus latirostris
GCF_030014295.1,Loxodonta africana
GCF_024166365.1,Elephas maximus indicus
GCF_000298275.1,Orycteropus afer afer
GCF_000313985.2,Echinops telfairi
GCF_017591425.1,Ochotona curzoniae
GCF_030435755.1,Ochotona princeps
GCF_033115175.1,Lepus europaeus
GCF_964237555.1,Oryctolagus cuniculus
GCF_004115215.2,Ornithorhynchus anatinus
GCF_015852505.1,Tachyglossus aculeatus
GCF_016433145.1,Gracilinanus agilis
GCF_027887165.1,Monodelphis domestica
GCF_019393635.1,Dromiciops gliroides
GCF_016432865.1,Antechinus flavipes
GCF_902635505.1,Sarcophilus harrisii
GCF_011100635.1,Trichosurus vulpecula
GCF_028583685.1,Petaurus breviceps papuanus
GCF_002099425.1,Phascolarctos cinereus
GCF_900497805.2,Vombatus ursinus
GCF_014824575.3,Sturnira hondurensis
GCF_000164805.1,Carlito syrichta
GCF_011100555.1,Callithrix jacchus
GCF_016699345.2,Saimiri boliviensis boliviensis
GCF_009761245.1,Sapajus apella
GCF_001604975.1,Cebus imitator
GCF_030222135.1,Aotus nancymaae
GCF_015252025.1,Chlorocebus sabaeus
GCF_003255815.1,Theropithecus gelada
GCF_008728515.1,Papio anubis
GCF_024542745.1,Macaca thibetana thibetana
GCF_037993035.1,Macaca fascicularis
GCF_003339765.1,Macaca mulatta
GCF_000956065.1,
GCF_006542625.1,Nomascus leucogenys
GCF_028878055.3,Symphalangus syndactylus
GCF_009828535.3,Hylobates moloch
GCF_028885625.2,Pongo pygmaeus
GCF_028885655.2,Pongo abelii
GCF_000001405.40,Homo sapiens
GCF_029281585.2,Gorilla gorilla gorilla
GCF_028858775.2,Pan troglodytes
GCF_029289425.2,Pan paniscus
GCF_001698545.2,Rhinopithecus bieti
GCF_007565055.1,Rhinopithecus roxellana
GCF_009764315.1,Trachypithecus francoisi
GCF_002776525.5,Piliocolobus tephrosceles
GCF_000951035.1,Colobus angolensis palliatus
GCF_000951045.1,Mandrillus leucophaeus
GCF_000955945.1,Cercocebus atys
GCF_000334495.1,Tupaia chinensis
GCF_027409185.1,Cynocephalus volans
GCF_000696425.1,Galeopterus variegatus
GCF_020740685.1,Jaculus jaculus
GCF_000622305.1,Nannospalax galili
GCF_903992535.2,Arvicola amphibius
GCF_014885135.2,Alexandromys fortis
GCF_000317375.1,Microtus ochrogaster
GCF_018167655.1,Microtus oregoni
GCF_950005125.1,Chionomys nivalis
GCF_902806735.1,Myodes glareolus
GCF_943737965.1,Phodopus roborovskii
GCF_003668045.3,Cricetulus griseus
GCF_017639785.1,Mesocricetus auratus
GCF_903995425.1,Onychomys torridus
GCF_003704035.1,Peromyscus maniculatus bairdii
GCF_004664715.2,Peromyscus leucopus
GCF_007827085.1,Peromyscus californicus insignis
GCF_949786415.1,Peromyscus eremicus
GCF_903995435.1,Acomys russatus
GCF_011064425.1,Rattus rattus
GCF_036323735.1,Rattus norvegicus
GCF_004785775.1,Grammomys surdaster
GCF_011762505.1,Arvicanthis niloticus
GCF_947179515.1,Apodemus sylvaticus
